unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source
190,line,5,6,1,李世民,李世民,重幸武功,Ethan-do0707/tang_poetry,6,5,垂衣天下治,垂衣天下治,5,衣天下,leishu_3gram
268,line,9,10,1,李世民,李世民,入潼关,Ethan-do0707/tang_poetry,12,5,别有真人气,别有真人气,5,有真人,leishu_3gram
469,line,25,26,1,李世民,李世民,度秋,Ethan-do0707/tang_poetry,3,5,洞庭波渐起,洞庭波渐起,5,洞庭波,leishu_3gram
655,line,40,41,1,李世民,李世民,采芙蓉,Ethan-do0707/tang_poetry,1,5,携手上雕航,携手上雕航,5,携手上,leishu_3gram
1009,line,87,88,1,李世民,李世民,句,Ethan-do0707/tang_poetry,4,5,近日毛虽暖,近日毛虽暖,5,近日毛,leishu_3gram
1010,line,87,88,1,李世民,李世民,句,Ethan-do0707/tang_poetry,5,5,闻弦心已惊,闻弦心已惊,5,弦心已,leishu_3gram
1168,line,101,102,3,李显,李显,景龙四年正月五日移仗蓬莱宫御大明殿会吐…柏梁体联句,Ethan-do0707/tang_poetry,10,5,__武平一著作不休出中肠,__武平一著作不休出中肠,12,著作不,leishu_3gram
1225,line,106,107,5,李隆基,李隆基,校猎义成喜逢大雪率题九韵以示群官,Ethan-do0707/tang_poetry,0,5,弧矢威天下,弧矢威天下,5,威天下,leishu_3gram
1242,line,106,107,5,李隆基,李隆基,校猎义成喜逢大雪率题九韵以示群官,Ethan-do0707/tang_poetry,17,5,俱荷皇天眷,俱荷皇天眷,5,皇天眷,leishu_3gram
1254,line,107,108,5,李隆基,李隆基,赐诸州刺史以题座右,Ethan-do0707/tang_poetry,11,5,清知不可忘,清知不可忘,5,知不可,leishu_3gram
1257,line,107,108,5,李隆基,李隆基,赐诸州刺史以题座右,Ethan-do0707/tang_poetry,14,5,讼狱必以情,讼狱必以情,5,必以情,leishu_3gram
1297,line,110,111,5,李隆基,李隆基,端午三殿宴群臣探得神字,Ethan-do0707/tang_poetry,12,5,股肱良足咏,股肱良足咏,5,股肱良,leishu_3gram
1337,line,114,115,5,李隆基,李隆基,过王濬墓,Ethan-do0707/tang_poetry,6,5,长戟今何在,长戟今何在,5,今何在,leishu_3gram
1352,line,115,116,5,李隆基,李隆基,初入秦川路逢寒食,Ethan-do0707/tang_poetry,9,5,争道何人不戏鞭,争道何人不戏鞭,7,何人不,leishu_3gram
1366,line,116,117,5,李隆基,李隆基,春台望,Ethan-do0707/tang_poetry,3,5,山川一何壮,山川一何壮,5,一何壮,leishu_3gram
1375,line,116,117,5,李隆基,李隆基,春台望,Ethan-do0707/tang_poetry,12,5,太液池中下黄鹤,太液池中下黄鹤,7,太液池,leishu_3gram
1377,line,116,117,5,李隆基,李隆基,春台望,Ethan-do0707/tang_poetry,14,5,闻道汉家全盛日,闻道汉家全盛日,7,家全盛,leishu_3gram
1388,line,116,117,5,李隆基,李隆基,春台望,Ethan-do0707/tang_poetry,25,5,夕鸟喧喧入上林,夕鸟喧喧入上林,7,入上林,leishu_3gram
1407,line,119,120,5,李隆基,李隆基,经邹鲁祭孔子而叹之,Ethan-do0707/tang_poetry,0,5,夫子何为者,夫子何为者,5,夫子何,leishu_3gram
1579,line,139,140,5,李隆基,李隆基,同二相已下群官乐游园宴,Ethan-do0707/tang_poetry,4,5,地入南山近,地入南山近,5,入南山,leishu_3gram
1593,line,140,141,5,李隆基,李隆基,集贤书院成，送张说上集贤学士，赐宴得珍字,Ethan-do0707/tang_poetry,6,5,献酬尊俎列,献酬尊俎列,5,尊俎列,leishu_3gram
1629,line,143,144,5,李隆基,李隆基,途经华岳,Ethan-do0707/tang_poetry,6,5,四方皆石壁,四方皆石壁,5,四方皆,leishu_3gram
1756,line,153,154,5,李隆基,李隆基,早登太行山中言志,Ethan-do0707/tang_poetry,1,5,凝笳上太行,凝笳上太行,5,上太行,leishu_3gram
1823,line,156,157,5,李隆基,李隆基,送张说巡边,Ethan-do0707/tang_poetry,16,5,鼓吹威夷狄,鼓吹威夷狄,5,威夷狄,leishu_3gram
